cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
1,7ffdac4df225,7ffdac4df571,0,3,0,0,0,0,0,1,0,0,2
2,7ffdac4f7221,0,0,50,0,0,0,0,0,0,0,0,0
2,7ffdac4d767c,7ffdac4d7776,0,406,0,4,0,0,0,8,0,0,24
2,7ffdac4ffa3d,0,0,89,0,0,0,0,0,0,0,0,0
7,7ffdaadd6678,7ffdaadd2ed2,0,122,0,0,0,0,0,0,0,0,0
3,7ffda9cdf27b,7ffda9a8a2e0,0,5,0,0,0,0,0,5,0,0,10
2,7ffdac4ffa78,0,0,89,0,0,0,0,0,0,0,0,0
7,7ffdac55e679,7ffdaa38f817,0,69,0,0,0,0,0,0,0,0,0
2,7ffdac67fa75,0,0,1,0,0,0,0,0,1,0,0,2
3,7ffdac4ffa4c,7ffda9cbe080,0,89,0,0,0,0,0,9,0,0,18
2,7ffdac4f764e,7ffdac4f76c6,0,50,0,1,0,0,0,1,0,0,4
2,7ffdac4dfa0e,0,0,127,0,0,0,0,0,0,0,0,0
2,7ffda9cdf205,7ffda9cdf076,0,5,0,2,0,0,0,1,0,0,6
2,7ffdac67fa1b,7ffdac67fa6e,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4dfa17,0,0,127,0,0,0,0,0,3,0,0,6
7,7ffda9f76e15,7ffda9f76f44,0,1,0,0,0,0,0,0,0,0,0
1,7ffda9cdf216,7ffda9cdf21a,0,5,0,0,0,0,0,1,0,0,2
2,7ffdac4d61ac,7ffdac4d6d15,0,64,0,0,0,0,0,1,0,0,2
3,7ffda9f76deb,7ffda99e43f0,0,1,0,0,0,0,0,1,0,0,2
1,7ffda9cdedaa,7ffda9cdedca,0,13,0,0,0,0,0,4,0,0,8
3,7ffdac4fe5ea,7ffdaa33b780,0,64,0,0,0,0,0,1,0,0,2
3,7ffdac4fe9aa,7ffdac4f7070,0,64,0,0,0,0,0,31,0,0,62
2,7ffdac4fe1ab,0,0,64,0,1,0,0,0,1,0,0,4
2,7ffdac4de1ab,7ffdac4de2e5,0,1,0,0,0,0,0,1,0,0,2
1,7ffdac55e5a4,7ffdaa0ec070,0,5402,0,0,0,0,0,0,0,0,0
3,7ffdac4d61a5,7ffdaa34b3d0,0,64,0,0,0,0,0,1,0,0,2
1,7ffda9f76da3,7ffda9f76dba,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4fe9e1,7ffdac4fe9e8,0,64,0,1,0,0,0,1,0,0,4
2,7ffda9cdede6,7ffda9cdedf9,0,13,0,0,0,0,0,1,0,0,2
2,7ffda9f76de6,0,0,1,0,0,0,0,0,1,0,0,2
2,7ffda9f76db8,7ffda9f76dca,0,256,0,0,0,0,0,1,0,0,2
2,7ffdac4fe5fe,7ffdac4fe625,0,64,0,0,0,0,0,28,0,0,56
2,7ffdac4d61b9,7ffdac4d6d15,0,58,0,0,0,0,0,19,0,0,38
7,7ffdac4ffdfb,7ffdaa210556,0,89,0,0,0,0,0,0,0,0,0
2,7ffdac4fe9fb,7ffdac4fea02,0,64,0,0,0,0,0,1,0,0,2
2,7ffdac4dedb4,7ffdac4dee09,0,7,0,4,0,0,0,1,0,0,10
3,7ffdac4fe9c9,7ffda99e43f0,0,8,0,0,0,0,0,2,0,0,4
3,7ffdac4fe18a,7ffdaa31bbe0,0,64,0,0,0,0,0,23,0,0,46
2,7ffdac55e584,7ffdac55e596,0,5402,0,2,0,0,0,1,0,0,6
2,7ffda9f76dc1,7ffda9f76db0,0,256,0,2,0,0,0,1,0,0,6
2,7ffdac4fe9c7,7ffdac4fe9ce,0,64,0,12,0,0,0,29,0,0,82
2,7ffda9f76d85,0,0,1,0,0,0,0,0,0,0,0,0
2,7ffda9cdedc4,7ffda9cdf214,0,5,0,0,0,0,0,4,0,0,8
2,7ffdac55e59f,7ffdac55e5a4,0,5402,0,2,0,0,0,1,0,0,6
1,7ffdac4fe1da,7ffdac4fe22f,0,64,0,0,0,0,0,1,0,0,2
2,7ffdaaff6993,0,0,2,0,0,0,0,0,1,0,0,2
1,7ffda9f76dd2,7ffda9f76dde,0,1,0,0,0,0,0,1,0,0,2
7,7ffdac4f7990,7ffdac4fe9af,0,64,0,0,0,0,0,0,0,0,0
2,7ffdac4d6191,0,0,64,0,0,0,0,0,0,0,0,0
2,7ffdac4ded92,7ffdac4deda5,0,7,0,5,0,0,0,2,0,0,14
2,7ffdac4fe56f,7ffdac4fe59f,0,50,0,5,0,0,0,4,0,0,18
2,7ffda9f76d6c,7ffda9f76d40,0,256,0,1,0,0,0,1,0,0,4
3,7ffdac4fed6a,7ffda9b16d70,0,1,0,0,0,0,0,1,0,0,2
4,7ffdac4d7d26,7ffdac4dcdc8,0,87,0,0,0,45,0,1,0,0,92
2,7ffdaadd657b,0,0,122,0,0,0,0,0,0,0,0,0
2,7ffda9cded78,0,0,13,0,0,0,0,0,0,0,0,0
2,7ffdac55e579,0,0,5402,0,0,0,0,0,1,0,0,2
2,7ffdac4de17a,0,0,1,0,0,0,0,0,0,0,0,0
2,7ffdac4d613b,7ffdac4d5bfa,0,1665,0,37,0,0,0,21,0,0,116
1,7ffda9f76d3e,7ffda9f76d51,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4d6134,0,0,1665,0,0,0,0,0,2,0,0,4
7,7ffdac4df575,7ffdaa3641e5,0,3,0,0,0,0,0,0,0,0,0
1,7ffdac4fed76,0,0,1,0,0,0,0,0,1,0,0,2
3,7ffdac4fed0e,7ffda9b16d70,0,5,0,0,0,0,0,1,0,0,2
2,7ffdac4d6148,0,0,64,0,0,0,0,0,0,0,0,0
3,7ffdac4fe949,7ffdaa227cb0,0,64,0,0,0,0,0,3,0,0,6
2,7ffda9f76d4f,7ffda9f76d7c,0,256,0,0,0,0,0,1,0,0,2
1,7ffdab6fe501,7ffdaa3128d0,0,1,0,0,0,0,0,1,0,0,2
3,7ffda9f76d03,7ffda9b16c10,0,1,0,0,0,0,0,1,0,0,2
1,7ffdac4d6d1f,7ffdac4d4d53,0,64,0,0,0,0,0,8,0,0,16
1,7ffdac4fed1a,7ffdac4fe24a,0,5,0,0,0,0,0,1,0,0,2
1,7ffdac4d6154,7ffdac4d6183,0,64,0,0,0,0,0,1,0,0,2
2,7ffda9cded12,0,0,13,0,0,0,0,0,0,0,0,0
2,7ffda9f76d14,0,0,1,0,0,0,0,0,0,0,0,0
3,7ffdac4de4ad,7ffdac4e6cd0,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4deced,7ffdac4ded89,0,5,0,1,0,0,0,2,0,0,6
2,7ffdac4fe8e8,7ffdac4feacc,0,64,0,1,0,0,0,1,0,0,4
3,7ffdab6fe4ed,0,0,1,0,0,0,0,0,1,0,0,2
3,7ffdac4fe8ab,7ffdac4fac20,0,64,0,0,0,0,0,36,0,0,72
2,7ffda9cdeca1,0,0,13,0,0,0,0,0,0,0,0,0
3,7ffdac4deca5,7ffda9dd6650,0,5,0,0,0,0,0,5,0,0,10
2,7ffdac4fe0a7,7ffdac4fe184,0,64,0,0,0,0,0,1,0,0,2
1,7ffda9cdeca7,7ffda9cdecb8,0,13,0,0,0,0,0,4,0,0,8
3,7ffdab6fe4e5,0,0,1,0,0,0,0,0,1,0,0,2
3,7ffda9cdece6,7ffda9cded30,0,13,0,0,0,0,0,1,0,0,2
2,7ffda9cdecfa,7ffda9cded01,0,13,0,2,0,0,0,8,0,0,20
2,7ffdac4de4b4,7ffdac4de6f3,0,1,0,0,0,0,0,1,0,0,2
2,7ffdac4fe8f6,7ffdac4fe90a,0,64,0,0,0,0,0,1,0,0,2
2,7ffdac4decb1,7ffdac4decc2,0,5,0,0,0,0,0,2,0,0,4
7,7ffdac5770ca,7ffdaa392351,0,717,0,0,0,0,0,0,0,0,0
2,7ffdac4fe8c4,0,0,64,0,0,0,0,0,2,0,0,4
2,7ffdac4decc7,7ffdac4decd8,0,5,0,1,0,0,0,3,0,0,8
2,7ffdac55e483,7ffdac55e49a,0,21,0,0,0,0,0,7,0,0,14
3,7ffdac4dec98,7ffda9bd67c0,0,5,0,0,0,0,0,1,0,0,2
7,7ffdac67f89a,7ffdac67f9ac,0,24,0,0,0,0,0,0,0,0,0
2,7ffdac4decdb,0,0,5,0,0,0,0,0,0,0,0,0
2,7ffda9cdec94,0,0,13,0,0,0,0,0,0,0,0,0
2,7ffdac4fe8d2,0,0,64,0,0,0,0,0,1,0,0,2
2,7ffdac55e82e,7ffdac55e87b,0,17,0,2,0,0,0,14,0,0,32
3,7ffda9ef606f,7ffda9f25ec0,0,70,0,0,0,0,0,17,0,0,34
3,7ffdac4fe02b,7ffdac66c080,0,64,0,0,0,0,0,1,0,0,2
2,7ffdac55e867,7ffdac55e87c,0,4,0,3,0,0,0,1,0,0,8
2,7ffdac55e860,0,0,4,0,0,0,0,0,0,0,0,0
3,7ffda9ef6024,7ffda9acca30,0,70,0,0,0,0,0,3,0,0,6
1,7ffdac4dec7f,7ffdac4dec8b,0,5,0,0,0,0,0,5,0,0,10
2,7ffdac55e478,0,0,21,0,0,0,0,0,0,0,0,0
2,7ffdac4fe03b,7ffdac4fe093,0,64,0,1,0,0,0,1,0,0,4
2,7ffdac4dec75,0,0,5,0,0,0,0,0,0,0,0,0
2,7ffdac55e832,0,0,4,0,0,0,0,0,2,0,0,4
2,7ffdac4fe006,7ffdac4fe018,0,64,0,0,0,0,0,1,0,0,2
2,7ffdac55e400,7ffdac55e46e,0,21,0,0,0,0,0,5,0,0,10
2,7ffda9cde844,0,0,21,0,0,0,0,0,0,0,0,0
2,7ffdac55e801,7ffdac55e825,0,17,0,0,0,0,0,1,0,0,2
7,7ffda9cdf404,7ffda9cdf1e0,0,5,0,0,0,0,0,0,0,0,0
2,7ffdac55e85c,0,0,4,0,0,0,0,0,0,0,0,0
2,7ffdac4dec5d,0,0,5,0,0,0,0,0,0,0,0,0
4,7ffdac4d7c55,7ffdac4dcdc8,0,231,0,0,0,25,0,17,0,0,84
2,7ffdac4fe7af,7ffdac4fe7bf,0,64,0,0,0,0,0,2,0,0,4
7,7ffdac4d7ba8,7ffdaa35db2b,0,55,0,0,0,0,0,0,0,0,0
2,7ffdac4fe3a9,0,0,64,0,0,0,0,0,0,0,0,0
2,7ffdac4fe7a4,0,0,64,0,0,0,0,0,1,0,0,2
7,7ffdac4d73a7,7ffdaa35d87c,0,56,0,0,0,0,0,0,0,0,0
7,7ffdac4df3a2,7ffdaa363c1c,0,3,0,0,0,0,0,0,0,0,0
2,7ffdac4deba3,7ffdac4dec57,0,5,0,3,0,0,0,1,0,0,8
7,7ffdac4dfbbc,7ffdaa3641e5,0,3,0,0,0,0,0,0,0,0,0
2,7ffdac4fe3bf,7ffdac4fe59f,0,64,0,21,0,0,0,1,0,0,44
1,7ffdac4defbf,7ffdac4df39e,0,3,0,0,0,0,0,2,0,0,4
2,7ffdac55e3b8,7ffdac55e3ec,0,21,0,0,0,0,0,1,0,0,2
2,7ffdac55e3f7,0,0,21,0,0,0,0,0,1,0,0,2
1,7ffdac4deff7,7ffdac4dfbb9,0,3,0,0,0,0,0,1,0,0,2
2,7ffdac4deff1,0,0,3,0,0,0,0,0,0,0,0,0
2,7ffda9cdebb6,7ffda9cdec75,0,13,0,0,0,0,0,1,0,0,2
2,7ffdac55e3b3,0,0,21,0,0,0,0,0,0,0,0,0
3,7ffdac4deb8d,7ffda9dd6650,0,6,0,0,0,0,0,6,0,0,12
2,7ffdac4debce,7ffdac4deaed,0,4,0,0,0,0,0,4,0,0,8
2,7ffda9cdeb8c,0,0,13,0,0,0,0,0,0,0,0,0
3,7ffdac4de3ca,7ffdaa315eb0,0,1,0,0,0,0,0,1,0,0,2
3,7ffdac4fe7cb,7ffda9ccae10,0,64,0,0,0,0,0,39,0,0,78
3,7ffdac4de7cb,0,0,1,0,0,0,0,0,1,0,0,2
1,7ffdac4defde,7ffdac4df21e,0,3,0,0,0,0,0,1,0,0,2
